update_date,province_name_en,city_name_en,cum_confirmed,cum_cured,cum_dead,new_confirmed,new_cured,new_dead,update_time
2020-01-24,Jiangxi,Pingxiang,1,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Hebei,Cangzhou,1,0,1,,,,2020-01-24 17:18:21.875
2020-01-24,Hebei,Shijiazhuang,1,0,0,,,,2020-01-24 17:18:21.875
2020-01-24,Henan,Sanmenxia,1,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Henan,Xinyang,1,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Henan,Zhoukou,1,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Henan,Gongyi,2,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Henan,Luoyang,1,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Henan,Zhengzhou,3,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Zhejiang,Taizhou,18,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Zhejiang,Jiaxing,3,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Zhejiang,Ningbo,5,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Zhejiang,Hangzhou,6,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Zhejiang,Wenzhou,6,1,0,,,,2020-01-24 23:35:03.158
2020-01-24,Zhejiang,Shaoxing,1,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Zhejiang,Zhoushan,1,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Zhejiang,Quzhou,2,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Zhejiang,Jinhua,1,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Henan,Wanning,2,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Henan,Sanya,2,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Henan,Lingao,1,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Henan,Haikou,3,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Hubei,Xiantao,2,0,0,,,,2020-01-24 17:30:09.978
2020-01-24,Hubei,Shiyan,1,0,0,,,,2020-01-24 17:30:09.978
2020-01-24,Hubei,Xiaogan,22,0,0,,,,2020-01-24 17:30:09.978
2020-01-24,Hubei,Yichang,1,0,1,,,,2020-01-24 17:30:09.978
2020-01-24,Hubei,Wuhan,495,31,23,,,,2020-01-24 17:30:09.978
2020-01-24,Hubei,Jingzhou,8,0,0,,,,2020-01-24 17:30:09.978
2020-01-24,Hubei,Jingmen,8,0,0,,,,2020-01-24 17:30:09.978
2020-01-24,Hubei,Huanggang,12,0,0,,,,2020-01-24 17:30:09.978
2020-01-24,Hunan,Loudi,3,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Hunan,Yueyang,3,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Hunan,Huaihua,3,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Hunan,Zhuzhou,1,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Hunan,Yongzhou,4,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Hunan,Xiangtan,1,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Hunan,Chenzhou,1,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Hunan,Changsha,8,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Gansu,Lanzhou,1,0,0,,,,2020-01-24 03:50:31.353
2020-01-24,Gansu,Baiyin,1,0,0,,,,2020-01-24 03:50:31.353
2020-01-24,Fujian,Sanming,0,0,0,,,,2020-01-24 16:10:16.631
2020-01-24,Fujian,Xiamen,3,0,0,,,,2020-01-24 17:39:15.611
2020-01-24,Fujian,Ningde,1,0,0,,,,2020-01-24 17:39:15.611
2020-01-24,Fujian,Quanzhou,1,0,0,,,,2020-01-24 17:39:15.611
2020-01-24,Fujian,Tanzhou,0,0,0,,,,2020-01-24 16:10:16.631
2020-01-24,Fujian,Fuzhou,5,0,0,,,,2020-01-24 17:39:15.611
2020-01-24,Guizou,Guiyang,1,0,0,,,,2020-01-24 03:50:31.353
2020-01-24,Guizou,Tongren,1,0,0,,,,2020-01-24 03:50:31.353
2020-01-24,Guizou,Qiannanzhou,1,0,0,,,,2020-01-24 03:50:31.353
2020-01-24,Liaoning,Dalian,1,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Liaoning,Zhaoyang,1,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Liaoning,Shenyang,2,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Chongqing,Wanzhouqu,3,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Chongqing,Liangjiangxinqu,1,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Chongqing,Jiulongpoqu,2,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Chongqing,Yunyang,1,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Chongqing,Dianjiang,2,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Chongqing,Dadukouqu,1,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Chongqing,Fengjie,1,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Chongqing,Wushan,3,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Chongqing,Wuxi,1,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Chongqing,Kaizhouqu,2,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Chongqing,Zhongxian,1,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Chongqing,Yongchuan,2,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Chongqing,Fulingqu,1,0,0,,,,2020-01-24 23:35:03.158
